uid_number,from,to,type,knowledgeLevel,ecosystemContext,reportedIn,taxonAttribute,conditions,Notes
1001,101,102,DESCRIBES_OUTCOME_OF,,Annual croplands,10.1111/rec.12987,,,article to process
1002,102,103,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,,,seeding to floral abundance 
1005,102,105,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,,,seeding porcess to species ricness 
1006,102,106,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,seeding to taxon 
1007,102,107,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1008,102,108,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1009,102,109,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1010,102,110,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1011,102,111,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1012,102,112,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1013,102,113,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1014,102,114,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1015,102,115,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1016,102,116,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1017,102,117,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1018,102,118,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1019,102,119,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1020,102,120,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1021,102,121,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1022,102,122,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1023,102,123,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1024,102,124,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1025,102,125,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1026,102,126,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1027,102,127,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1028,102,128,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1029,102,129,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1030,102,130,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1031,102,131,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1032,102,132,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1033,102,133,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1034,102,134,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1035,102,135,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1036,102,136,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1037,102,137,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1038,102,138,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1039,102,139,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1040,102,140,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1041,102,141,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1042,102,142,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1043,102,143,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1044,102,144,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1045,102,145,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1046,102,146,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1047,102,147,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1048,102,148,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1049,102,149,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1050,102,150,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1051,102,151,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1052,102,152,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1053,102,153,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1054,102,154,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1055,102,155,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1056,102,156,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1057,102,157,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1058,102,158,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1059,102,159,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1060,102,160,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1061,102,161,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1062,102,162,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1063,102,163,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1064,102,164,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1065,102,165,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1066,102,166,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1067,102,167,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1068,102,168,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1069,102,169,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1070,102,170,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1071,102,171,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1072,102,172,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1073,102,173,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1074,102,174,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1075,102,175,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
