uid_number,Name,Node type,articleStudyCoords,articleDOI,processEcosystemOrigin,processEcosystemTarget,processWikidataID,processCURIE,taxonCommonName,taxonAttribute,taxonWikidataID,taxonCURIE,variableWikidataID,variableCURIE
101,Restored native prairie supports abundant and species-rich native bee communities on conventional farms,Article,"42.794, -80.4593",10.1111/rec.12987,,,,,,,,,,
102,Seeding process,Process,,10.1111/rec.12987,Annual croplands,Annual croplands,,ENVO:00000117,,,,,,
103,Floral abundance,Environmental variable,,10.1111/rec.12987,,,,,,,,,,
104,Nesting resources,Environmental variable,,10.1111/rec.12987,,,,,,,,,,
105,Species richness,Environmental variable,,10.1111/rec.12987,,,,,,,,,,
106,Augochlorella aurata,Taxon,,10.1111/rec.12987,,,,,Golden green sweat bee,Abundance,Q1985579,NCBITaxon:586896,,
107,Augochloropsis metallica,Taxon,,10.1111/rec.12987,,,,,Metallic epauletted-sweat bee,Abundance,Q2677178,NCBITaxon:115079,,
108,Augochlora pura,Taxon,,10.1111/rec.12987,,,,,Pure Green Sweat Bee,Abundance,Q5517118,NCBITaxon:115077,,
109,Agapostemon sericieus,Taxon,,10.1111/rec.12987,,,,,Silky striped sweat bee,Abundance,Q2034051,NCBITaxon:88595,,
110,Agapostemon texanus,Taxon,,10.1111/rec.12987,,,,,Metallic green sweat bee,Abundance,Q2747101,NCBITaxon:1889476,,
111,Agapostemon virescens,Taxon,,10.1111/rec.12987,,,,,Bicolored striped sweat bee,Abundance,Q3002253,NCBITaxon:115084,,
112,Apis mellifera,Taxon,,10.1111/rec.12987,,,,,Honeybee,Abundance,Q30034,NCBITaxon:7460,,
113,Andrena cardina,Taxon,,10.1111/rec.12987,,,,,,Abundance,,,,
114,Andrena commoda,Taxon,,10.1111/rec.12987,,,,,Advantaged miner bee,Abundance,Q2278504,NCBITaxon:1431437,,
115,Andrena distans,Taxon,,10.1111/rec.12987,,,,,Distant miner bee,Abundance,Q2536078,NCBITaxon:446235,,
116,Andrena dunningi,Taxon,,10.1111/rec.12987,,,,,Dunning's miner bee,Abundance,Q2176883,NCBITaxon:337472,,
117,Andrena eriginae,Taxon,,10.1111/rec.12987,,,,,Spring beauty miner bee,Abundance,Q2164934,NCBITaxon:205214,,
118,Andrena nasonii,Taxon,,10.1111/rec.12987,,,,,Bumped miner bee,Abundance,Q2205365,NCBITaxon:205203,,
119,Andrena nivalis,Taxon,,10.1111/rec.12987,,,,,Snow miner bee,Abundance,Q2191838,NCBITaxon:205185,,
120,Andrena placata,Taxon,,10.1111/rec.12987,,,,,Peaceful miner bee,Abundance,Q2378369,NCBITaxon:205247,,
121,Andrena platyparia,Taxon,,10.1111/rec.12987,,,,,Plated miner bee,Abundance,Q1909927,NCBITaxon:2283864,,
122,Andrena robertsonii,Taxon,,10.1111/rec.12987,,,,,Robertson's miner bee,Abundance,Q2747748,NCBITaxon:586965,,
123,Andrena splendons,Taxon,,10.1111/rec.12987,,,,,,Abundance,Q2747748),,,
124,Andrena sp.,Taxon,,10.1111/rec.12987,,,,,Miner bee,Abundance,Q517165,NCBITaxon:205261,,
125,Anthidiellum notatum notatum,Taxon,,10.1111/rec.12987,,,,,Northern rotund resin bee,Abundance,Q963090,NCBITaxon:156279,,
126,Bombus bimaculatus,Taxon,,10.1111/rec.12987,,,,,Two-spotted bumble bee,Abundance,Q2389840,NCBITaxon:309944,,
127,Bombus citrinus,Taxon,,10.1111/rec.12987,,,,,Lemon cuckoo bumblebee,Abundance,Q2233080,NCBITaxon:239130,,
128,Bombus impatiens,Taxon,,10.1111/rec.12987,,,,,Common eastern bumblebee,Abundance,Q2367709,NCBITaxon:132113,,
129,Bombus grisecollis,Taxon,,10.1111/rec.12987,,,,,brown-belted bumblebee,Abundance,Q2163571,NCBITaxon:207634,,
130,Bombus rufocinctus,Taxon,,10.1111/rec.12987,,,,,Red-belted bumblebee,Abundance,Q2088072,NCBITaxon:207647,,
131,Bombus sandersonii,Taxon,,10.1111/rec.12987,,,,,Sanderson bumblebee,Abundance,Q1974809,NCBITaxon:421272,,
132,Bombus variabilis,Taxon,,10.1111/rec.12987,,,,,Variable Cuckoo Bumble Bee,Abundance,Q2511750,NCBITaxon:28654,,
133,Calliopsis sp.,Taxon,,10.1111/rec.12987,,,,,Miner bee,Abundance,Q14491786,NCBITaxon:156286,,
134,Ceratina calcarata,Taxon,,10.1111/rec.12987,,,,,Spurred ceratina,Abundance,Q2520020,NCBITaxon:156304,,
135,Ceratina dupla,Taxon,,10.1111/rec.12987,,,,,Doubled ceratina,Abundance,Q3044319,NCBITaxon:236026,,
136,Ceratina floridana,Taxon,,10.1111/rec.12987,,,,,Small carpenter bees,Abundance,Q1938968,NCBITaxon:1161895,,
137,Ceratina mikmaqi,Taxon,,10.1111/rec.12987,,,,,,Abundance,,,,
138,Ceratina octoplenta,Taxon,,10.1111/rec.12987,,,,,,Abundance,,,,
139,Ceratina strenua,Taxon,,10.1111/rec.12987,,,,,Nimble ceratina,Abundance,Q1969680,NCBITaxon:710039,,
140,Ceratina sp.,Taxon,,10.1111/rec.12987,,,,,Small carpenter bees,Abundance,Q1938968,NCBITaxon:78173,,
141,Colletes compactus,Taxon,,10.1111/rec.12987,,,,,Compact plasterer bee,Abundance,Q2000080,NCBITaxon:395732,,
